STATION,date,DEPTH,LAYER,PARAMETER,AvgValue,LAB,METHOD,PROBLEM,TOTAL_DEPTH
LE1.2,12/7/2010,1,M,SALINITY,14.46,,F01,,16.5
LE1.2,12/7/2010,2,M,SALINITY,14.46,,F01,,16.5
LE1.2,12/7/2010,3,AP,CHLA,8.97,MDHMH,L01,,16.5
LE1.2,12/7/2010,3,AP,SALINITY,14.46,,F01,,16.5
LE1.2,12/7/2010,6,M,SALINITY,14.6,,F01,,16.5
LE1.2,12/7/2010,9,M,SALINITY,14.73,,F01,,16.5
LE1.2,12/7/2010,12,BP,CHLA,8.39,MDHMH,L01,,16.5
LE1.2,12/7/2010,12,BP,SALINITY,14.87,,F01,,16.5
LE1.2,12/7/2010,15,B,CHLA,8.39,MDHMH,L01,,16.5
LE1.2,12/7/2010,15,B,SALINITY,15.2,,F01,,16.5
LE1.2,1/6/2011,0.5,S,CHLA,11.14,MDHMH,L01,,17
LE1.2,1/6/2011,0.5,S,SALINITY,13.46,,F01,,17
LE1.2,1/6/2011,1,M,SALINITY,13.46,,F01,,17
LE1.2,1/6/2011,2,M,SALINITY,13.59,,F01,,17
LE1.2,1/6/2011,3,AP,CHLA,11.98,MDHMH,L01,,17
LE1.2,1/6/2011,3,AP,SALINITY,13.73,,F01,,17
LE1.2,1/6/2011,6,M,SALINITY,14.13,,F01,,17
LE1.2,1/6/2011,9,M,SALINITY,14.19,,F01,,17
LE1.2,1/6/2011,12,BP,CHLA,14.04,MDHMH,L01,,17
LE1.2,1/6/2011,12,BP,SALINITY,14.33,,F01,,17
LE1.2,1/6/2011,15,B,CHLA,13.88,MDHMH,L01,,17
LE1.2,1/6/2011,15,B,SALINITY,14.4,,F01,,17
LE1.2,1/6/2011,16,M,SALINITY,14.4,,F01,,17
LE1.2,2/3/2011,0.5,S,CHLA,10.68,MDHMH,L01,,17
LE1.2,2/3/2011,0.5,S,SALINITY,14.13,,F01,,17
LE1.2,2/3/2011,1,M,SALINITY,14.13,,F01,,17
LE1.2,2/3/2011,2,M,SALINITY,14.13,,F01,,17
LE1.2,2/3/2011,3,AP,CHLA,10.22,MDHMH,L01,,17
LE1.2,2/3/2011,3,AP,SALINITY,14.13,,F01,,17
LE1.2,2/3/2011,6,M,SALINITY,14.19,,F01,,17
LE1.2,2/3/2011,9,M,SALINITY,14.26,,F01,,17
LE1.2,2/3/2011,12,BP,CHLA,9.92,MDHMH,L01,,17
LE1.2,2/3/2011,12,BP,SALINITY,14.33,,F01,,17
LE1.2,2/3/2011,15,B,CHLA,10.83,MDHMH,L01,,17
LE1.2,2/3/2011,15,B,SALINITY,14.73,,F01,,17
LE1.2,2/3/2011,16,M,SALINITY,14.87,,F01,,17
LE1.2,3/7/2011,0.5,S,CHLA,10.44,MDHMH,L01,,17
LE1.2,3/7/2011,0.5,S,SALINITY,14.87,,F01,,17
LE1.2,3/7/2011,1,M,SALINITY,14.87,,F01,,17
LE1.2,3/7/2011,2,M,SALINITY,14.87,,F01,,17
LE1.2,3/7/2011,3,AP,CHLA,9.88,MDHMH,L01,,17
LE1.2,3/7/2011,3,AP,SALINITY,14.87,,F01,,17
LE1.2,3/7/2011,6,M,SALINITY,14.93,,F01,,17
LE1.2,3/7/2011,9,M,SALINITY,15.2,,F01,,17
LE1.2,3/7/2011,12,BP,CHLA,13.48,MDHMH,L01,,17
LE1.2,3/7/2011,12,BP,SALINITY,15.34,,F01,,17
LE1.2,3/7/2011,15,B,CHLA,14.15,MDHMH,L01,,17
LE1.2,3/7/2011,15,B,SALINITY,15.61,,F01,,17
LE1.2,3/7/2011,16,M,SALINITY,15.75,,F01,,17
LE1.2,4/4/2011,0.5,S,CHLA,58.74,MDHMH,L01,,17
LE1.2,4/4/2011,0.5,S,SALINITY,9.33,,F01,,17
LE1.2,4/4/2011,1,M,SALINITY,9.33,,F01,,17
LE1.2,4/4/2011,2,M,SALINITY,9.33,,F01,,17
LE1.2,4/4/2011,3,AP,CHLA,55.445,MDHMH,L01,,17
LE1.2,4/4/2011,3,AP,SALINITY,9.33,,F01,,17
LE1.2,4/4/2011,6,M,SALINITY,9.33,,F01,,17
LE1.2,4/4/2011,9,M,SALINITY,9.33,,F01,,17
LE1.2,4/4/2011,12,BP,CHLA,40.05,MDHMH,L01,,17
LE1.2,4/4/2011,12,BP,SALINITY,10.11,,F01,,17
LE1.2,4/4/2011,15,B,CHLA,27.59,MDHMH,L01,,17
LE1.2,4/4/2011,15,B,SALINITY,11.34,,F01,,17
LE1.2,4/4/2011,16,M,SALINITY,11.67,,F01,,17
LE1.2,5/2/2011,0.5,S,CHLA,21.15,MDHMH,L01,,17
LE1.2,5/2/2011,0.5,S,SALINITY,8.57,,F01,,17
LE1.2,5/2/2011,1,M,SALINITY,8.57,,F01,,17
LE1.2,5/2/2011,2,M,SALINITY,8.57,,F01,,17
LE1.2,5/2/2011,3,AP,CHLA,21.895,MDHMH,L01,,17
LE1.2,5/2/2011,3,AP,SALINITY,8.57,,F01,,17
LE1.2,5/2/2011,6,M,SALINITY,8.95,,F01,,17
LE1.2,5/2/2011,9,M,SALINITY,9.14,,F01,,17
LE1.2,5/2/2011,12,BP,CHLA,25.42,MDHMH,L01,,17
LE1.2,5/2/2011,12,BP,SALINITY,9.27,,F01,,17
LE1.2,5/2/2011,15,B,CHLA,26.27,MDHMH,L01,,17
LE1.2,5/2/2011,15,B,SALINITY,9.27,,F01,,17
LE1.2,5/2/2011,16,M,SALINITY,9.27,,F01,,17
LE1.2,6/13/2011,0.5,S,CHLA,26.49,MDHMH,L01,,17
LE1.2,6/13/2011,0.5,S,SALINITY,6.68,,F01,,17
LE1.2,6/13/2011,1,M,SALINITY,6.68,,F01,,17
LE1.2,6/13/2011,2,M,SALINITY,6.68,,F01,,17
LE1.2,6/13/2011,3,AP,CHLA,25.315,MDHMH,L01,,17
LE1.2,6/13/2011,3,AP,SALINITY,6.74,,F01,,17
LE1.2,6/13/2011,6,M,SALINITY,6.74,,F01,,17
LE1.2,6/13/2011,9,M,SALINITY,7.68,,F01,,17
LE1.2,6/13/2011,12,BP,CHLA,6.41,MDHMH,L01,,17
LE1.2,6/13/2011,12,BP,SALINITY,9.14,,F01,,17
LE1.2,6/13/2011,15,B,CHLA,3.84,MDHMH,L01,,17
LE1.2,6/13/2011,15,B,SALINITY,10.43,,F01,,17
LE1.2,6/13/2011,16,M,SALINITY,10.69,,F01,,17
LE1.2,7/14/2011,0.5,S,CHLA,22,MDHMH,L01,,17
LE1.2,7/14/2011,0.5,S,SALINITY,9.53,,F01,,17
LE1.2,7/14/2011,1,M,SALINITY,9.53,,F01,,17
LE1.2,7/14/2011,2,M,SALINITY,9.53,,F01,,17
LE1.2,7/14/2011,3,AP,CHLA,18.795,MDHMH,L01,,17
LE1.2,7/14/2011,3,AP,SALINITY,9.65,,F01,,17
LE1.2,7/14/2011,6,M,SALINITY,10.24,,F01,,17
LE1.2,7/14/2011,9,M,SALINITY,11.8,,F01,,17
LE1.2,7/14/2011,12,BP,CHLA,3.56,MDHMH,L01,,17
LE1.2,7/14/2011,12,BP,SALINITY,11.87,,F01,,17
LE1.2,7/14/2011,15,B,CHLA,2.49,MDHMH,L01,,17
LE1.2,7/14/2011,15,B,SALINITY,12.26,,F01,,17
LE1.2,7/14/2011,16,M,SALINITY,12.33,,F01,,17
LE1.2,8/16/2011,0.5,S,CHLA,17.7,MDHMH,L01,,17
LE1.2,8/16/2011,0.5,S,SALINITY,12.26,,F01,,17
LE1.2,8/16/2011,1,M,SALINITY,12.26,,F01,,17
LE1.2,8/16/2011,2,M,SALINITY,12.26,,F01,,17
LE1.2,8/16/2011,3,AP,CHLA,15.41,MDHMH,L01,,17
LE1.2,8/16/2011,3,AP,SALINITY,12.26,,F01,,17
LE1.2,8/16/2011,6,M,SALINITY,12.26,,F01,,17
LE1.2,8/16/2011,9,M,SALINITY,12.59,,F01,,17
LE1.2,8/16/2011,12,BP,CHLA,2.67,MDHMH,L01,,17
LE1.2,8/16/2011,12,BP,SALINITY,13.19,,F01,,17
LE1.2,8/16/2011,15,B,CHLA,2.59,MDHMH,L01,,17
LE1.2,8/16/2011,15,B,SALINITY,13.33,,F01,,17
LE1.2,8/16/2011,16,M,SALINITY,13.33,,F01,,17
LE1.2,9/13/2011,0.5,S,CHLA,40.37,CBL,L01,,17
LE1.2,9/13/2011,0.5,S,SALINITY,3.8,,F01,,17
LE1.2,9/13/2011,1,M,SALINITY,3.8,,F01,,17
LE1.2,9/13/2011,2,M,SALINITY,4.24,,F01,,17
LE1.2,9/13/2011,3,AP,CHLA,28.84,CBL,L01,,17
LE1.2,9/13/2011,3,AP,SALINITY,4.88,,F01,,17
LE1.2,9/13/2011,6,M,SALINITY,9.2,,F01,,17
LE1.2,9/13/2011,9,M,SALINITY,10.69,,F01,,17
LE1.2,9/13/2011,12,BP,CHLA,1.68,CBL,L01,JJ,17
LE1.2,9/13/2011,12,BP,SALINITY,11.47,,F01,,17
LE1.2,9/13/2011,15,B,CHLA,1.68,CBL,L01,JJ,17
LE1.2,9/13/2011,15,B,SALINITY,11.61,,F01,,17
LE1.2,9/13/2011,16,M,SALINITY,11.67,,F01,,17
LE1.2,10/13/2011,0.5,S,CHLA,14.8,CBL,L01,,17.5
LE1.2,10/13/2011,0.5,S,SALINITY,7.18,,F01,,17.5
LE1.2,10/13/2011,1,M,SALINITY,7.18,,F01,,17.5
LE1.2,10/13/2011,2,M,SALINITY,7.18,,F01,,17.5
LE1.2,10/13/2011,3,AP,CHLA,16.405,CBL,L01,,17.5
LE1.2,10/13/2011,3,AP,SALINITY,7.18,,F01,,17.5
LE1.2,10/13/2011,6,M,SALINITY,7.18,,F01,,17.5
LE1.2,10/13/2011,9,M,SALINITY,7.24,,F01,,17.5
LE1.2,10/13/2011,12,BP,CHLA,9,CBL,L01,,17.5
LE1.2,10/13/2011,12,BP,SALINITY,7.24,,F01,,17.5
LE1.2,10/13/2011,15,B,CHLA,9,CBL,L01,,17.5
LE1.2,10/13/2011,15,B,SALINITY,7.3,,F01,,17.5
LE1.2,10/13/2011,16,M,SALINITY,7.3,,F01,,17.5
LE1.2,11/10/2011,0.5,S,CHLA,29.05,CBL,L01,,17
LE1.2,11/10/2011,0.5,S,SALINITY,7.24,,F01,,17
LE1.2,11/10/2011,1,M,SALINITY,7.24,,F01,,17
LE1.2,11/10/2011,2,M,SALINITY,7.37,,F01,,17
LE1.2,11/10/2011,3,AP,CHLA,21.15,CBL,L01,,17
LE1.2,11/10/2011,3,AP,SALINITY,7.43,,F01,,17
LE1.2,11/10/2011,6,M,SALINITY,7.74,,F01,,17
LE1.2,11/10/2011,9,M,SALINITY,8.06,,F01,,17
LE1.2,11/10/2011,12,BP,CHLA,11.53,CBL,L01,,17
LE1.2,11/10/2011,12,BP,SALINITY,8.06,,F01,,17
LE1.2,11/10/2011,15,B,CHLA,10.47,CBL,L01,,17
LE1.2,11/10/2011,15,B,SALINITY,8.06,,F01,,17
LE1.2,11/10/2011,16,M,SALINITY,8.06,,F01,,17
LE1.2,12/5/2011,0.5,S,CHLA,25.36,CBL,L01,,17.5
LE1.2,12/5/2011,0.5,S,SALINITY,7.37,,F01,,17.5
LE1.2,12/5/2011,1,M,SALINITY,7.43,,F01,,17.5
LE1.2,12/5/2011,2,M,SALINITY,7.43,,F01,,17.5
LE1.2,12/5/2011,3,AP,CHLA,19.22,CBL,L01,,17.5
LE1.2,12/5/2011,3,AP,SALINITY,7.87,,F01,,17.5
LE1.2,12/5/2011,6,M,SALINITY,8.89,,F01,,17.5
LE1.2,12/5/2011,9,M,SALINITY,9.01,,F01,,17.5
LE1.2,12/5/2011,12,BP,CHLA,5.47,CBL,L01,,17.5
LE1.2,12/5/2011,12,BP,SALINITY,9.01,,F01,,17.5
LE1.2,12/5/2011,15,B,CHLA,5.07,CBL,L01,,17.5
LE1.2,12/5/2011,15,B,SALINITY,9.08,,F01,,17.5
LE1.2,12/5/2011,16,M,SALINITY,9.08,,F01,,17.5
LE1.2,1/17/2012,0.5,S,CHLA,22.43,CBL,L01,,17.5
LE1.2,1/17/2012,0.5,S,SALINITY,7.24,,F01,,17.5
LE1.2,1/17/2012,1,M,SALINITY,7.24,,F01,,17.5
LE1.2,1/17/2012,2,M,SALINITY,7.3,,F01,,17.5
LE1.2,1/17/2012,3,AP,CHLA,19.65,CBL,L01,,17.5
LE1.2,1/17/2012,3,AP,SALINITY,7.3,,F01,,17.5
LE1.2,1/17/2012,6,M,SALINITY,7.56,,F01,,17.5
LE1.2,1/17/2012,9,M,SALINITY,7.74,,F01,,17.5
LE1.2,1/17/2012,12,BP,CHLA,21.57,CBL,L01,,17.5
LE1.2,1/17/2012,12,BP,SALINITY,7.87,,F01,,17.5
LE1.2,1/17/2012,15,B,CHLA,27.13,CBL,L01,,17.5
LE1.2,1/17/2012,15,B,SALINITY,8.12,,F01,,17.5
LE1.2,1/17/2012,16,M,SALINITY,8.25,,F01,,17.5
LE1.2,2/8/2012,0.5,S,CHLA,12.46,CBL,L01,,17
LE1.2,2/8/2012,0.5,S,SALINITY,6.74,,F01,,17
LE1.2,2/8/2012,1,M,SALINITY,6.74,,F01,,17
LE1.2,2/8/2012,2,M,SALINITY,6.74,,F01,,17
LE1.2,2/8/2012,3,AP,CHLA,11.39,CBL,L01,,17
LE1.2,2/8/2012,3,AP,SALINITY,6.8,,F01,,17
LE1.2,2/8/2012,6,M,SALINITY,7.24,,F01,,17
LE1.2,2/8/2012,9,M,SALINITY,7.37,,F01,,17
LE1.2,2/8/2012,12,BP,CHLA,22.67,CBL,L01,,17
LE1.2,2/8/2012,12,BP,SALINITY,7.56,,F01,,17
LE1.2,2/8/2012,15,B,CHLA,19.46,CBL,L01,,17
LE1.2,2/8/2012,15,B,SALINITY,7.56,,F01,,17
LE1.2,2/8/2012,16,M,SALINITY,7.56,,F01,,17
LE1.2,3/8/2012,0.5,S,CHLA,26.7,CBL,L01,,17
LE1.2,3/8/2012,0.5,S,SALINITY,8.44,,F01,,17
LE1.2,3/8/2012,1,M,SALINITY,8.44,,F01,,17
LE1.2,3/8/2012,2,M,SALINITY,8.44,,F01,,17
LE1.2,3/8/2012,3,AP,CHLA,27.445,CBL,L01,,17
LE1.2,3/8/2012,3,AP,SALINITY,8.5,,F01,,17
LE1.2,3/8/2012,6,M,SALINITY,8.5,,F01,,17
LE1.2,3/8/2012,9,M,SALINITY,9.59,,F01,,17
LE1.2,3/8/2012,12,BP,CHLA,22.64,CBL,L01,,17
LE1.2,3/8/2012,12,BP,SALINITY,9.98,,F01,,17
LE1.2,3/8/2012,15,B,CHLA,16.66,CBL,L01,,17
LE1.2,3/8/2012,15,B,SALINITY,10.17,,F01,,17
LE1.2,3/8/2012,16,M,SALINITY,10.24,,F01,,17
LE1.2,4/5/2012,0.5,S,CHLA,24.14,CBL,L01,,17
LE1.2,4/5/2012,0.5,S,SALINITY,8.82,,F01,,17
LE1.2,4/5/2012,1,M,SALINITY,8.82,,F01,,17
LE1.2,4/5/2012,2,M,SALINITY,8.89,,F01,,17
LE1.2,4/5/2012,3,AP,CHLA,25.31,CBL,L01,,17
LE1.2,4/5/2012,3,AP,SALINITY,8.89,,F01,,17
LE1.2,4/5/2012,6,M,SALINITY,9.59,,F01,,17
LE1.2,4/5/2012,9,M,SALINITY,10.17,,F01,,17
LE1.2,4/5/2012,12,BP,CHLA,30.12,CBL,L01,,17
LE1.2,4/5/2012,12,BP,SALINITY,10.69,,F01,,17
LE1.2,4/5/2012,15,B,CHLA,34.82,CBL,L01,,17
LE1.2,4/5/2012,15,B,SALINITY,10.69,,F01,,17
LE1.2,4/5/2012,16,M,SALINITY,10.82,,F01,,17
LE1.2,5/8/2012,0.5,S,CHLA,4.59,CBL,L01,,17.2
LE1.2,5/8/2012,0.5,S,SALINITY,11.54,,F01,,17.2
LE1.2,5/8/2012,1,M,SALINITY,11.54,,F01,,17.2
LE1.2,5/8/2012,2,M,SALINITY,11.54,,F01,,17.2
LE1.2,5/8/2012,3,AP,CHLA,4.43,CBL,L01,,17.2
LE1.2,5/8/2012,3,AP,SALINITY,11.54,,F01,,17.2
LE1.2,5/8/2012,6,M,SALINITY,11.74,,F01,,17.2
LE1.2,5/8/2012,9,M,SALINITY,12,,F01,,17.2
LE1.2,5/8/2012,12,BP,CHLA,3.1,CBL,L01,,17.2
LE1.2,5/8/2012,12,BP,SALINITY,12.2,,F01,,17.2
LE1.2,5/8/2012,15,B,CHLA,2.4,CBL,L01,,17.2
LE1.2,5/8/2012,15,B,SALINITY,12.26,,F01,,17.2
LE1.2,5/8/2012,16,M,SALINITY,12.26,,F01,,17.2
LE1.2,6/11/2012,0.5,S,CHLA,11.75,CBL,L01,,17.3
LE1.2,6/11/2012,0.5,S,SALINITY,11.47,,F01,,17.3
LE1.2,6/11/2012,1,M,SALINITY,11.41,,F01,,17.3
LE1.2,6/11/2012,2,M,SALINITY,11.74,,F01,,17.3
LE1.2,6/11/2012,3,AP,CHLA,10.575,CBL,L01,,17.3
LE1.2,6/11/2012,3,AP,SALINITY,11.8,,F01,,17.3
LE1.2,6/11/2012,6,M,SALINITY,11.93,,F01,,17.3
LE1.2,6/11/2012,9,M,SALINITY,11.93,,F01,,17.3
LE1.2,6/11/2012,12,BP,CHLA,5.98,CBL,L01,,17.3
LE1.2,6/11/2012,12,BP,SALINITY,12.07,,F01,,17.3
LE1.2,6/11/2012,15,B,CHLA,5.98,CBL,L01,,17.3
LE1.2,6/11/2012,15,B,SALINITY,12.07,,F01,,17.3
LE1.2,6/11/2012,16,M,SALINITY,12.07,,F01,,17.3
LE1.2,7/2/2012,0.5,S,CHLA,14.52,CBL,L01,,16.5
LE1.2,7/2/2012,0.5,S,SALINITY,11.87,,F01,,16.5
LE1.2,7/2/2012,1,M,SALINITY,11.87,,F01,,16.5
LE1.2,7/2/2012,2,M,SALINITY,11.87,,F01,,16.5
LE1.2,7/2/2012,3,AP,CHLA,15.7,CBL,L01,,16.5
LE1.2,7/2/2012,3,AP,SALINITY,11.87,,F01,,16.5
LE1.2,7/2/2012,6,M,SALINITY,12.33,,F01,,16.5
LE1.2,7/2/2012,9,M,SALINITY,12.66,,F01,,16.5
LE1.2,7/2/2012,12,BP,CHLA,4.91,CBL,L01,,16.5
LE1.2,7/2/2012,12,BP,SALINITY,12.79,,F01,,16.5
LE1.2,7/2/2012,15,B,CHLA,4.7,CBL,L01,,16.5
LE1.2,7/2/2012,15,B,SALINITY,12.93,,F01,,16.5
LE1.2,8/2/2012,0.5,S,CHLA,16.73,CBL,L01,,17
LE1.2,8/2/2012,0.5,S,SALINITY,13.79,,F01,,17
LE1.2,8/2/2012,1,M,SALINITY,13.86,,F01,,17
LE1.2,8/2/2012,2,M,SALINITY,13.93,,F01,,17
LE1.2,8/2/2012,3,AP,CHLA,27.055,CBL,L01,,17
LE1.2,8/2/2012,3,AP,SALINITY,13.93,,F01,,17
LE1.2,8/2/2012,6,M,SALINITY,14.06,,F01,,17
LE1.2,8/2/2012,9,M,SALINITY,14.4,,F01,,17
LE1.2,8/2/2012,12,BP,CHLA,10.47,CBL,L01,,17
LE1.2,8/2/2012,12,BP,SALINITY,14.46,,F01,,17
LE1.2,8/2/2012,15,B,CHLA,8.97,CBL,L01,,17
LE1.2,8/2/2012,15,B,SALINITY,14.53,,F01,,17
LE1.2,8/2/2012,16,M,SALINITY,14.6,,F01,,17
LE1.2,9/4/2012,0.5,S,CHLA,17.3,CBL,L01,,16.5
LE1.2,9/4/2012,0.5,S,SALINITY,13.79,,F01,,16.5
LE1.2,9/4/2012,1,M,SALINITY,13.79,,F01,,16.5
LE1.2,9/4/2012,2,M,SALINITY,13.79,,F01,,16.5
LE1.2,9/4/2012,3,AP,CHLA,13.03,CBL,L01,,16.5
LE1.2,9/4/2012,3,AP,SALINITY,13.79,,F01,,16.5
LE1.2,9/4/2012,6,M,SALINITY,14.33,,F01,,16.5
LE1.2,9/4/2012,9,M,SALINITY,14.53,,F01,,16.5
LE1.2,9/4/2012,12,BP,CHLA,3.42,CBL,L01,,16.5
LE1.2,9/4/2012,12,BP,SALINITY,14.6,,F01,,16.5
LE1.2,9/4/2012,15,B,CHLA,3.63,CBL,L01,,16.5
LE1.2,9/4/2012,15,B,SALINITY,14.6,,F01,,16.5
LE1.2,10/1/2012,0.5,S,CHLA,8.86,CBL,L01,,16.5
LE1.2,10/1/2012,0.5,S,SALINITY,15.2,,F01,,16.5
LE1.2,10/1/2012,1,M,SALINITY,15.27,,F01,,16.5
LE1.2,10/1/2012,2,M,SALINITY,15.34,,F01,,16.5
LE1.2,10/1/2012,3,AP,CHLA,6.515,CBL,L01,,16.5
LE1.2,10/1/2012,3,AP,SALINITY,15.41,,F01,,16.5
LE1.2,10/1/2012,6,M,SALINITY,16.02,,F01,,16.5
LE1.2,10/1/2012,9,M,SALINITY,16.43,,F01,,16.5
LE1.2,10/1/2012,12,BP,CHLA,2.99,CBL,L01,,16.5
LE1.2,10/1/2012,12,BP,SALINITY,16.63,,F01,,16.5
LE1.2,10/1/2012,15,B,CHLA,3.1,CBL,L01,,16.5
LE1.2,10/1/2012,15,B,SALINITY,16.63,,F01,,16.5
LE1.2,11/1/2012,0.5,S,CHLA,11.61,CBL,L01,,17
LE1.2,11/1/2012,0.5,S,SALINITY,12.59,,F01,,17
LE1.2,11/1/2012,1,M,SALINITY,13.53,,F01,,17
LE1.2,11/1/2012,2,M,SALINITY,14.53,,F01,,17
LE1.2,11/1/2012,3,AP,CHLA,9.88,CBL,L01,,17
LE1.2,11/1/2012,3,AP,SALINITY,14.53,,F01,,17
LE1.2,11/1/2012,6,M,SALINITY,15.2,,F01,,17
LE1.2,11/1/2012,9,M,SALINITY,15.81,,F01,,17
LE1.2,11/1/2012,12,BP,CHLA,4.27,CBL,L01,,17
LE1.2,11/1/2012,12,BP,SALINITY,16.43,,F01,,17
LE1.2,11/1/2012,15,B,CHLA,3.6,CBL,L01,,17
LE1.2,11/1/2012,15,B,SALINITY,17.18,,F01,,17
LE1.2,11/1/2012,16,M,SALINITY,17.31,,F01,,17
LE1.2,12/3/2012,0.5,S,CHLA,7.69,CBL,L01,,17.3
LE1.2,12/3/2012,0.5,S,SALINITY,14.06,,F01,,17.3
LE1.2,12/3/2012,1,M,SALINITY,14.06,,F01,,17.3
LE1.2,12/3/2012,2,M,SALINITY,14.13,,F01,,17.3
LE1.2,12/3/2012,3,AP,CHLA,5.235,CBL,L01,,17.3
LE1.2,12/3/2012,3,AP,SALINITY,14.13,,F01,,17.3
LE1.2,12/3/2012,6,M,SALINITY,14.26,,F01,,17.3
LE1.2,12/3/2012,9,M,SALINITY,14.93,,F01,,17.3
LE1.2,12/3/2012,12,BP,CHLA,1.5,CBL,L01,,17.3
LE1.2,12/3/2012,12,BP,SALINITY,15.07,,F01,,17.3
LE1.2,12/3/2012,15,B,CHLA,7.48,CBL,L01,,17.3
LE1.2,12/3/2012,15,B,SALINITY,15.2,,F01,,17.3
LE1.2,12/3/2012,16,M,SALINITY,15.2,,F01,,17.3
LE1.2,1/7/2013,0.5,S,CHLA,14.19,CBL,L01,,17
LE1.2,1/7/2013,0.5,S,SALINITY,13.66,,F01,,17
LE1.2,1/7/2013,1,M,SALINITY,13.66,,F01,,17
LE1.2,1/7/2013,2,M,SALINITY,13.66,,F01,,17
LE1.2,1/7/2013,3,AP,CHLA,13.5,CBL,L01,,17
LE1.2,1/7/2013,3,AP,SALINITY,13.66,,F01,,17
LE1.2,1/7/2013,6,M,SALINITY,14.33,,F01,,17
LE1.2,1/7/2013,9,M,SALINITY,14.4,,F01,,17
LE1.2,1/7/2013,12,BP,CHLA,19.53,CBL,L01,,17
LE1.2,1/7/2013,12,BP,SALINITY,14.46,,F01,,17
LE1.2,1/7/2013,15,B,CHLA,20.44,CBL,L01,,17
LE1.2,1/7/2013,15,B,SALINITY,14.4,,F01,,17
LE1.2,1/7/2013,16,M,SALINITY,14.4,,F01,,17
LE1.2,2/4/2013,0.5,S,CHLA,23.28,CBL,L01,,17
LE1.2,2/4/2013,0.5,S,SALINITY,12.79,,F01,,17
LE1.2,2/4/2013,1,M,SALINITY,12.86,,F01,,17
LE1.2,2/4/2013,2,M,SALINITY,12.99,,F01,,17
LE1.2,2/4/2013,3,AP,CHLA,23.6,CBL,L01,,17
LE1.2,2/4/2013,3,AP,SALINITY,13.19,,F01,,17
LE1.2,2/4/2013,6,M,SALINITY,14.13,,F01,,17
LE1.2,2/4/2013,9,M,SALINITY,14.53,,F01,,17
LE1.2,2/4/2013,12,BP,CHLA,25.42,CBL,L01,,17
LE1.2,2/4/2013,12,BP,SALINITY,14.66,,F01,,17
LE1.2,2/4/2013,15,B,CHLA,27.77,CBL,L01,,17
LE1.2,2/4/2013,15,B,SALINITY,14.66,,F01,,17
LE1.2,2/4/2013,16,M,SALINITY,14.66,,F01,,17
LE1.2,3/12/2013,0.5,S,CHLA,37.81,CBL,L01,,17
LE1.2,3/12/2013,0.5,S,SALINITY,11.08,,F01,,17
LE1.2,3/12/2013,1,M,SALINITY,11.08,,F01,,17
LE1.2,3/12/2013,2,M,SALINITY,11.08,,F01,,17
LE1.2,3/12/2013,3,AP,CHLA,36.42,CBL,L01,,17
LE1.2,3/12/2013,3,AP,SALINITY,11.08,,F01,,17
LE1.2,3/12/2013,6,M,SALINITY,11.15,,F01,,17
LE1.2,3/12/2013,9,M,SALINITY,11.28,,F01,,17
LE1.2,3/12/2013,12,BP,CHLA,37.81,CBL,L01,,17
LE1.2,3/12/2013,12,BP,SALINITY,11.67,,F01,,17
LE1.2,3/12/2013,15,B,CHLA,33.11,CBL,L01,,17
LE1.2,3/12/2013,15,B,SALINITY,12.26,,F01,,17
LE1.2,3/12/2013,16,M,SALINITY,12.53,,F01,,17
LE1.2,4/11/2013,0.5,S,CHLA,21.89,CBL,L01,,17
LE1.2,4/11/2013,0.5,S,SALINITY,11.28,,F01,,17
LE1.2,4/11/2013,1,M,SALINITY,11.28,,F01,,17
LE1.2,4/11/2013,2,M,SALINITY,11.34,,F01,,17
LE1.2,4/11/2013,3,AP,CHLA,33.64,CBL,L01,,17
LE1.2,4/11/2013,3,AP,SALINITY,11.34,,F01,,17
LE1.2,4/11/2013,6,M,SALINITY,12.66,,F01,,17
LE1.2,4/11/2013,9,M,SALINITY,12.86,,F01,,17
LE1.2,4/11/2013,12,BP,CHLA,57.94,CBL,L01,,17
LE1.2,4/11/2013,12,BP,SALINITY,12.93,,F01,,17
LE1.2,4/11/2013,15,B,CHLA,66.22,CBL,L01,,17
LE1.2,4/11/2013,15,B,SALINITY,12.99,,F01,,17
LE1.2,4/11/2013,16,M,SALINITY,13.19,,F01,,17
LE1.2,5/9/2013,0.5,S,CHLA,13.24,CBL,L01,,17
LE1.2,5/9/2013,0.5,S,SALINITY,10.24,,F01,,17
LE1.2,5/9/2013,1,M,SALINITY,10.24,,F01,,17
LE1.2,5/9/2013,2,M,SALINITY,10.56,,F01,,17
LE1.2,5/9/2013,3,AP,CHLA,15.805,CBL,L01,,17
LE1.2,5/9/2013,3,AP,SALINITY,10.89,,F01,,17
LE1.2,5/9/2013,6,M,SALINITY,11.61,,F01,,17
LE1.2,5/9/2013,9,M,SALINITY,11.67,,F01,,17
LE1.2,5/9/2013,12,BP,CHLA,13.24,CBL,L01,,17
LE1.2,5/9/2013,12,BP,SALINITY,11.8,,F01,,17
LE1.2,5/9/2013,15,B,CHLA,13.24,CBL,L01,,17
LE1.2,5/9/2013,15,B,SALINITY,11.87,,F01,,17
LE1.2,5/9/2013,16,M,SALINITY,11.93,,F01,,17
LE1.2,6/10/2013,0.5,S,CHLA,18.37,CBL,L01,,17
LE1.2,6/10/2013,0.5,S,SALINITY,11.21,,F01,,17
